序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202209) ,净利润(202209),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
4887,688513,苑东生物,成都苑东生物制药股份有限公司,四川,成都市,8.98亿,1.95亿,1188,2020-09-02,--,,--,高端化学药品、小分子创新药及生物药、原料药,化学原料药、高端化学药品及生物药品研发、生产、销售。
4888,688515,裕太微,裕太微电子股份有限公司,--,--,2.99亿,761.78万,167,2023-02-10,,,--,以太网物理层芯片,高速有线通信芯片的研发、设计和销售。
4889,688516,奥特维,无锡奥特维科技股份有限公司,江苏,无锡市,23.98亿,4.59亿,2200,2020-05-21,--,,--,光伏设备、锂电设备、非纺织布设备,高端智能装备的研发、设计、生产和销售。
4890,688517,金冠电气,金冠电气股份有限公司,河南,南阳市,3.69亿,3404.23万,386,2021-06-18,--,,--,避雷器、智能配电网设备,输配电及控制设备研发、制造和销售。
4891,688518,联赢激光,深圳市联赢激光股份有限公司,广东,深圳市,18.94亿,1.87亿,4829,2020-06-22,--,,--,激光器及激光焊接机、工作台、激光焊接自动化成套设备,精密激光焊接机及激光焊接自动化成套设备的研发、生产、销售。
4892,688519,南亚新材,南亚新材料科技股份有限公司,上海,上海市,27.50亿,5405.99万,1542,2020-08-18,,,--,覆铜板、粘结片,覆铜板和粘结片等复合材料及其制品的设计、研发、生产及销售。
4893,688520,神州细胞,北京神州细胞生物技术集团股份公司,北京,北京市,6.50亿,-4.03亿,1353,2020-06-22,--,,--,生物类似药、创新药,恶性肿瘤、自身免疫性疾病、感染性疾病和遗传病等多个治疗和预防领域的生物药产品研发和产业化。
4894,688521,芯原股份,芯原微电子(上海)股份有限公司,上海,上海市,18.84亿,3277.39万,1362,2020-08-18,--,,--,集成电路,依托自主半导体IP，为客户提供平台化、全方位、一站式芯片定制服务和半导体IP授权服务。
4895,688522,纳睿雷达,广东纳睿雷达科技股份有限公司,--,--,--,--,204,2023-03-01,,,--,X波段双极化(双偏振)有源相控阵雷达设备,提供全极化有源相控阵雷达系统解决方案。
4896,688525,佰维存储,深圳佰维存储科技股份有限公司,--,--,21.85亿,7604.30万,1117,2022-12-30,,,--,智能终端存储芯片、消费级存储模组、工业级存储模组、先进封测服务,从事半导体存储器的存储介质应用研发、封装测试、生产和销售。
4897,688526,科前生物,武汉科前生物股份有限公司,湖北,武汉市,6.87亿,2.83亿,848,2020-09-22,--,,--,兽用疫苗,专注于兽用生物制品研发、生产、销售及动物防疫技术服务。
4898,688528,秦川物联,成都秦川物联网科技股份有限公司,四川,成都市,2.53亿,-306.07万,768,2020-07-01,--,,--,物联网智能燃气表、IC卡智能燃气表、膜式燃气表、工商业用燃气表、物联网智能水表,智能燃气表的研发、制造、销售和服务.
